Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
EnvisionTEC,Perfactory Apollo,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax,3.94,2.95,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Aureus,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer, Wax",Wax,2.36,1.77,3.94,"Less than $49,999"
EnvisionTEC,Perfactory DDDP,N/A,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer",Gypsum,3.94,2.95,3.94,"Less than $49,999"
EnvisionTEC,Perfactory DDSP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Desktop XL,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",ABS,3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro Advantage,N/A,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS, Wax",2.36,1.77,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro DDP,N/A,,Vat Photopolymerization (e.g. SLA),"Composite, Polymer",,1.57,1.18,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro DGP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,,3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro DSP L,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,2.36,1.77,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro DSP M,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,1.97,1.48,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro DSP S,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,1.57,1.18,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro EDU,N/A,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer, Wax","ABS, Gypsum, PP, Wax",3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro HiRes,N/A,,Vat Photopolymerization (e.g. SLA),"Polymer, Wax","ABS, Wax",1.57,1.18,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro Ortho,N/A,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS, Gypsum",3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Micro XL,N/A,,Vat Photopolymerization (e.g. SLA),"Ceramic, Polymer","ABS, Gypsum, PP",3.94,2.94,3.94,"Less than $49,999"
EnvisionTEC,Perfactory Mini DDSP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,2.36,1.77,3.94,"Less than $49,999"
EnvisionTEC,Perfactory PixCera,N/A,,Vat Photopolymerization (e.g. SLA),"Ceramic, Composite, Polymer",Gypsum,2.36,1.77,3.94,"Less than $49,999"
EnvisionTEC,ULTRA 3SP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, PP",10.5,6.9,7.6,"Less than $49,999"
EnvisionTEC,ULTRA 3SP High Definition,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,"ABS, PP",10.5,6.9,7.6,"$50,000 - $99,999"
EnvisionTEC,ULTRA 3SP Ortho,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,10.5,6.9,3,"Less than $49,999"
EnvisionTEC,Xede 3SP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,18,18,18,"$100,000 - $249,999"
EnvisionTEC,Xtreme 3SP,N/A,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,10,15,13,"$100,000 - $249,999"
EOS,EOS M 290,N/A,400,Powder Bed Fusion (e.g. SLS),Metal,"Aluminum, Cobalt, Nickel, Steel, Titanium",9.85,9.85,12.8,"$500,000 - $999,999"
EOS,EOS M 400,N/A,1000,Powder Bed Fusion (e.g. SLS),Metal,,15.8,15.8,15.8,"Greater than $1,000,000"
EOS,EOS P 396,N/A,70,Powder Bed Fusion (e.g. SLS),"Composite, Polymer",,13.4,13.4,23.6,"$250,000 - $499,999"
EOS,EOSINT M 270,Dual Mode,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999"
EOS,EOSINT M 270,N/A,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999"
EOS,EOSINT M 270,Standard,200,Powder Bed Fusion (e.g. SLS),Metal,"Cobalt, Nickel, Steel, Titanium",9.85,9.85,8.5,"$250,000 - $499,999"
