Manufacturer,Model,Mode,Laser Power (W),AM Process,General Material Type,Specific Material Type,X (in),Y (in),Z (in),Price (USD)
Stratasys,Dimension Elite,SST (Soluble Support Technology),,Material Extrusion (e.g. FDM),Polymer,ABS,8,8,12,"Less than $49,999"
Stratasys,Fortus 250mc,N/A,,Material Extrusion (e.g. FDM),Polymer,ABS,10,10,12,"Less than $49,999"
Stratasys,Fortus 360mc,Base,,Material Extrusion (e.g. FDM),Polymer,"ABS, ABS/PP, ASA, PEI, PC",14,10,10,"$50,000 - $99,999"
Stratasys,Fortus 360mc,Upgrade,,Material Extrusion (e.g. FDM),Polymer,"ABS, ABS/PP, ASA, PEI, PC",16,14,16,"$50,000 - $99,999"
Stratasys,Fortus 380mc,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",14,12,12,"$100,000 - $249,999"
Stratasys,Fortus 400mc,Base,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",14,10,10,"$100,000 - $249,999"
Stratasys,Fortus 400mc,Upgrade,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",16,14,16,"$100,000 - $249,999"
Stratasys,Fortus 450mc,,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",16,14,16,"$100,000 - $249,999"
Stratasys,Fortus 900mc,Base,,Material Extrusion (e.g. FDM),"Composite, Polymer","ABS, ABS/PP, ASA, PEI, PC, PPS",36,24,36,"$250,000 - $499,999"
Stratasys,FrameWorx,N/A,,Material Extrusion (e.g. FDM),Wax,Wax,6,6,2,"Less than $49,999"
Stratasys,Mojo,N/A,,Material Extrusion (e.g. FDM),Polymer,ABS,5,5,5,"Less than $49,999"
Stratasys,Objet Eden250,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP",9.84,9.84,7.87,"Less than $49,999"
Stratasys,Objet Eden250,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP",9.84,9.84,7.87,"Less than $49,999"
Stratasys,Objet Eden260V,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP, Rubber",10.04,9.92,7.87,"$50,000 - $99,999"
Stratasys,Objet Eden260V,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP, Rubber",10.04,9.92,7.87,"$50,000 - $99,999"
Stratasys,Objet Eden260V Dental Advantage,N/A,,Material Jetting,Polymer,,10.24,10.24,7.9,"$50,000 - $99,999"
Stratasys,Objet Eden260VS Dental Advantage,,,Material Jetting,Polymer,"Acrylic, PP, Rubber",10.04,9.92,7.87,"$50,000 - $99,999"
Stratasys,Objet Eden350V,N/A,,Material Jetting,Polymer,"Acrylic, PP, Rubber",13.4,13.4,7.9,"$100,000 - $249,999"
Stratasys,Objet Eden500V,High Quality (HQ),,Material Jetting,Polymer,"Acrylic, PP, Rubber",19.29,15.35,7.87,"$100,000 - $249,999"
Stratasys,Objet Eden500V,High Speed (HS),,Material Jetting,Polymer,"Acrylic, PP, Rubber",19.29,,7.87,"$100,000 - $249,999"
Stratasys,Objet1000,Digital Material (DM),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",39.3,31.4,19.6,"$500,000 - $999,999"
Stratasys,Objet1000,High Quality (HQ),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",39.3,31.4,19.6,"$500,000 - $999,999"
Stratasys,Objet1000,High Speed (HS),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",39.3,31.4,19.6,"$500,000 - $999,999"
Stratasys,Objet24,N/A,,Material Jetting,Polymer,Acrylic,9.21,7.55,5.85,"Less than $49,999"
Stratasys,Objet260 Connex,N/A,,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",10,9.9,7.9,"$100,000 - $249,999"
Stratasys,Objet30 OrthoDesk,N/A,,Material Jetting,Polymer,,11.81,7.87,3.94,"Less than $49,999"
Stratasys,Objet30 Prime,,,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",11.57,7.55,5.85,"Less than $49,999"
Stratasys,Objet30 Pro,N/A,,Material Jetting,Polymer,Acrylic,11.57,7.55,5.85,"Less than $49,999"
Stratasys,Objet350 Connex,Digital Material (DM),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",13.4,13.4,7.9,"$100,000 - $249,999"
Stratasys,Objet350 Connex,High Quality (HQ),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",13.4,13.4,7.9,"$100,000 - $249,999"
Stratasys,Objet350 Connex,High Speed (HS),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",13.4,13.4,7.9,"$100,000 - $249,999"
Stratasys,Objet500 Connex,Digital Material (DM),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",19.3,15.4,7.9,"$100,000 - $249,999"
Stratasys,Objet500 Connex,High Quality (HQ),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",19.3,15.4,7.9,"$100,000 - $249,999"
Stratasys,Objet500 Connex,High Speed (HS),,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",19.3,15.4,7.9,"$100,000 - $249,999"
Stratasys,Objet500 Connex3,N/A,,Material Jetting,Polymer,"ABS, Acrylic, PP, Rubber",19.3,15.4,7.9,"$250,000 - $499,999"
Stratasys,uPrint SE,N/A,,Material Extrusion (e.g. FDM),Polymer,ABS,8,6,6,"Less than $49,999"
Stratasys,uPrint SE,Plus,,Material Extrusion (e.g. FDM),Polymer,ABS,8,8,6,"Less than $49,999"
Trump Precision Machinery,ELITE 3000,,80,Powder Bed Fusion (e.g. SLS),Polymer,,12.6,12.6,23.6,"$100,000 - $249,999"
Trump Precision Machinery,ELITE 3500,,50,Powder Bed Fusion (e.g. SLS),Polymer,,13.8,13.8,23.6,Price not reported
Trump Precision Machinery,ELITE 3600,,50,Powder Bed Fusion (e.g. SLS),Polymer,,13.8,13.8,23.6,"$100,000 - $249,999"
Trump Precision Machinery,ELITE 3600,HD,100,Powder Bed Fusion (e.g. SLS),Polymer,,13.8,13.8,23.6,"$100,000 - $249,999"
Trump Precision Machinery,ELITE 5000,,50,Powder Bed Fusion (e.g. SLS),Polymer,,18.9,18.9,23.6,Price not reported
Trump Precision Machinery,ELITE P5500,,150,Powder Bed Fusion (e.g. SLS),Polymer,,21.7,21.7,23.6,"$250,000 - $499,999"
Unirapid,UNIRAPID III,,,Vat Photopolymerization (e.g. SLA),Polymer,ABS,5.91,5.91,5.91,"$50,000 - $99,999"
voxeljet,VX1000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",41.73,23.62,19.69,"$500,000 - $999,999"
voxeljet,VX1000,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",41.73,23.62,19.69,"$500,000 - $999,999"
voxeljet,VX200,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",11.81,7.87,5.91,"$100,000 - $249,999"
voxeljet,VX2000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",81.1,41.73,39.37,"$500,000 - $999,999"
voxeljet,VX2000,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",81.1,41.73,39.37,"$500,000 - $999,999"
voxeljet,VX4000,HP,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",157.48,78.74,39.37,"Greater than $1,000,000"
voxeljet,VX500,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",19.69,15.75,11.81,"$250,000 - $499,999"
voxeljet,VXC800,Standard,,Binder Jetting,"Polymer, Sand","PMMA, Silicate",33.46,19.69,78.74,"$500,000 - $999,999"
Wuhan Binhu,HRPL-II,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,13.78,13.78,13.78,"$100,000 - $249,999"
Wuhan Binhu,HRPL-III,,0.5,Vat Photopolymerization (e.g. SLA),Polymer,,23.62,23.62,19.69,"$100,000 - $249,999"
Wuhan Binhu,HRPM-II,,200,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",9.84,9.84,9.84,"$250,000 - $499,999"
Wuhan Binhu,HRPM-II,,400,Powder Bed Fusion (e.g. SLS),Metal,"Steel, Titanium, Nickel",9.84,9.84,9.84,"$250,000 - $499,999"
Wuhan Binhu,HRPS-II,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",12.6,12.6,17.72,"$50,000 - $99,999"
Wuhan Binhu,HRPS-IV,,,Powder Bed Fusion (e.g. SLS),"Ceramic, Polymer, Sand","PS, PP, PA, Coated Sand, Ceramic",19.69,19.69,15.75,"$100,000 - $249,999"
Wuhan Binhu,HRPS-V,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",39.37,39.37,23.62,"$250,000 - $499,999"
Wuhan Binhu,HRPS-VI,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",47.24,47.24,23.62,"$500,000 - $999,999"
Wuhan Binhu,HRPS-VII,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,27.56,19.69,"$500,000 - $999,999"
Wuhan Binhu,HRPS-VIII,,,Powder Bed Fusion (e.g. SLS),"Polymer, Sand","PS, Coated Sand",55.12,55.12,19.69,"Greater than $1,000,000"
