Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
Kevvox,Beige (LC 120),Polymer,PP,No,45,45,,,10,20,1900,1900,,,Shore D,80,80,,,,,,,No
Kevvox,Castable,Polymer,,No,,,,,,,,,,,Shore D,68,68,,,,,,,No
Kevvox,Cool Grey,Polymer,ABS,No,45,45,,,10,20,1900,1900,,,Shore D,80,80,,,,,,,No
Kevvox,Dental Stone (DS 500),Polymer,,No,38,38,,,10,23,1850,1850,,,Shore D,81,81,,,,,,,No
Kevvox,Ocean Blue (LC 130),Polymer,PP,No,45,45,,,10,20,1900,1900,,,Shore D,80,80,,,,,,,No
Kevvox,Translucent Orange,Polymer,ABS,No,46,46,,,8,14,2000,2000,,,Shore D,84,84,,,,,,,No
Lithoz,LithaCon 3Y 610 Purple (ZrO2),Ceramic,Zirconia,Yes,,,,,,,650,650,,,,,,,,,,6.01,,No
Lithoz,LithaLox HP 500 (Al2O3),Ceramic,Alumina,Yes,,,,,,,430,430,,,,,,,,,,3.96,,No
LPW,LPW 155 (15-5PH),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 174 (17-4PH),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 1V,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 247LC,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 263,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 276,Metal,Nickel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 316 (316L),Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 4140,Metal,Steel,No,,,,,,,,,,,,,,,,,,,,No
LPW,LPW 509,Metal,Cobalt,No,,,,,,,,,,,,,,,,,,,,No
